No	TMNo	EnNo	Name	INOUT	Mode	DateTime
186	1	16		0	5	2018/01/02 12:50:11
187	1	5		0	5	2018/01/02 12:51:06
188	1	10		0	5	2018/01/02 12:51:14
189	1	2		0	5	2018/01/02 12:51:42
190	1	13		0	5	2018/01/02 12:51:48
191	1	26		0	5	2018/01/02 13:31:50
192	1	23		0	5	2018/01/02 13:32:42
193	1	23		0	5	2018/01/02 13:32:42
194	1	24		0	5	2018/01/02 13:33:21
195	1	9		0	6	2018/01/02 18:00:06
196	1	26		0	6	2018/01/02 18:00:50
197	1	14		0	6	2018/01/02 18:01:00
198	1	4		0	6	2018/01/02 18:01:06
199	1	12		0	6	2018/01/02 18:01:14
200	1	21		0	6	2018/01/02 18:01:19
201	1	17		0	6	2018/01/02 18:01:26
202	1	2		0	6	2018/01/02 18:01:35
203	1	16		0	6	2018/01/02 18:01:42
204	1	5		0	6	2018/01/02 18:05:22
205	1	1		0	6	2018/01/02 18:05:28
206	1	3		0	6	2018/01/02 18:05:33
207	1	15		0	6	2018/01/02 18:05:39
208	1	10		0	6	2018/01/02 18:06:08
209	1	13		0	6	2018/01/02 18:19:51
210	1	13		0	6	2018/01/02 18:19:51
211	1	7		0	6	2018/01/02 18:27:09
212	1	14		0	6	2018/01/02 18:28:41
213	1	11		0	6	2018/01/02 18:29:32
214	1	7		0	5	2018/01/03 08:30:54
215	1	7		0	5	2018/01/03 08:30:54
216	1	24		0	5	2018/01/03 08:31:00
217	1	6		0	5	2018/01/03 08:31:06
218	1	6		0	5	2018/01/03 08:31:00
219	1	6		0	5	2018/01/03 08:31:12
220	1	4		0	5	2018/01/03 08:39:45
221	1	1		0	5	2018/01/03 08:49:59
222	1	5		0	5	2018/01/03 08:50:46
223	1	5		0	5	2018/01/03 08:50:46
224	1	23		0	5	2018/01/03 08:51:48
225	1	11		0	5	2018/01/03 09:02:09
226	1	2		0	5	2018/01/03 09:02:50
227	1	2		0	5	2018/01/03 09:02:50
228	1	2		0	5	2018/01/03 09:02:52
229	1	2		0	5	2018/01/03 09:02:52
230	1	10		0	5	2018/01/03 09:05:31
231	1	10		0	5	2018/01/03 09:05:31
232	1	8		0	5	2018/01/03 09:06:33
233	1	8		0	5	2018/01/03 09:06:33
234	1	16		0	5	2018/01/03 09:10:29
235	1	22		0	5	2018/01/03 09:10:33
236	1	14		0	5	2018/01/03 09:13:25
237	1	21		0	5	2018/01/03 09:14:43
238	1	21		0	5	2018/01/03 09:14:43
239	1	18		0	5	2018/01/03 09:15:14
240	1	20		0	5	2018/01/03 09:15:52
241	1	17		0	5	2018/01/03 09:18:13
242	1	12		0	5	2018/01/03 09:18:18
243	1	9		0	5	2018/01/03 09:33:19
244	1	3		0	5	2018/01/03 10:04:01
245	1	13		0	5	2018/01/03 11:01:28
246	1	13		0	5	2018/01/03 11:01:28
247	1	5		0	5	2018/01/03 12:00:12
248	1	21		0	5	2018/01/03 12:00:18
249	1	21		0	5	2018/01/03 12:00:18
250	1	16		0	5	2018/01/03 12:00:23
251	1	7		0	6	2018/01/03 12:00:46
252	1	7		0	6	2018/01/03 12:00:46
253	1	20		0	6	2018/01/03 12:00:49
254	1	20		0	6	2018/01/03 12:00:49
255	1	12		0	6	2018/01/03 12:00:55
256	1	22		0	6	2018/01/03 12:01:01
257	1	18		0	6	2018/01/03 12:01:05
258	1	17		0	6	2018/01/03 12:01:10
259	1	1		0	6	2018/01/03 12:01:15
260	1	1		0	6	2018/01/03 12:01:15
261	1	13		0	6	2018/01/03 12:01:18
262	1	13		0	6	2018/01/03 12:01:18
263	1	9		0	6	2018/01/03 12:01:24
264	1	24		0	6	2018/01/03 12:01:33
265	1	23		0	6	2018/01/03 12:01:42
266	1	11		0	6	2018/01/03 12:01:50
267	1	4		0	6	2018/01/03 12:01:56
268	1	14		0	6	2018/01/03 12:02:47
269	1	16		0	5	2018/01/03 12:33:48
270	1	17		0	5	2018/01/03 12:33:55
271	1	7		0	5	2018/01/03 12:33:58
